PLAYER ID,0
PLAYER GENDER,1
EXPERIMENT START,2022-14-10--10-20-12
-
TRIAL DATA
-
LATIN SQUARE ROW,4
TRIAL,1
Condition ID,
LATERAL(POS X),-0.3500004
LATERAL(POS Y),0
LATERAL(POS Z),0
LATERAL(ROT X),0
LATERAL(ROT Y),0.7071068
LATERAL(ROT Z),0
LATERAL(FORWARD X),1
LATERAL(FORWARD Y),0
LATERAL(FORWARD Z),-1.192093E-07
MAIN(POS X),0.3500004
MAIN(POS Y),0
MAIN(POS Z),0
MAIN(ROT X),0
MAIN(ROT Y),-0.7071068
MAIN(ROT Z),0
MAIN(FORWARD X),-1
MAIN(FORWARD Y),0
MAIN(FORWARD Z),-1.192093E-07
GROUP(POS X),-12.01
GROUP(POS Y),0
GROUP(POS Z),5.28
-
TRAJECTORY DATA
-
PLAYER Pos X,PLAYER Pos Y,PLAYER Pos Z,PLAYER Rot X,PLAYER Rot Y,PLAYER Rot Z,PLAYER Forward X,PLAYER Forward Y,PLAYER Forward Z
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
TRIAL,3
Condition ID,
LATERAL(POS X),-1.65
LATERAL(POS Y),0
LATERAL(POS Z),0
LATERAL(ROT X),0
LATERAL(ROT Y),0.7071068
LATERAL(ROT Z),0
LATERAL(FORWARD X),1
LATERAL(FORWARD Y),0
LATERAL(FORWARD Z),-1.192093E-07
MAIN(POS X),1.65
MAIN(POS Y),0
MAIN(POS Z),0
MAIN(ROT X),0
MAIN(ROT Y),-0.7071068
MAIN(ROT Z),0
MAIN(FORWARD X),-1
MAIN(FORWARD Y),0
MAIN(FORWARD Z),-1.192093E-07
GROUP(POS X),-12.01
GROUP(POS Y),0
GROUP(POS Z),5.28
-
TRAJECTORY DATA
-
PLAYER Pos X,PLAYER Pos Y,PLAYER Pos Z,PLAYER Rot X,PLAYER Rot Y,PLAYER Rot Z,PLAYER Forward X,PLAYER Forward Y,PLAYER Forward Z
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
TRIAL,4
Condition ID,
LATERAL(POS X),-1.05
LATERAL(POS Y),0
LATERAL(POS Z),0
LATERAL(ROT X),0
LATERAL(ROT Y),0.7071068
LATERAL(ROT Z),0
LATERAL(FORWARD X),1
LATERAL(FORWARD Y),0
LATERAL(FORWARD Z),-1.192093E-07
MAIN(POS X),1.05
MAIN(POS Y),0
MAIN(POS Z),0
MAIN(ROT X),0
MAIN(ROT Y),-0.7071068
MAIN(ROT Z),0
MAIN(FORWARD X),-1
MAIN(FORWARD Y),0
MAIN(FORWARD Z),-1.192093E-07
GROUP(POS X),-12.01
GROUP(POS Y),0
GROUP(POS Z),5.28
-
TRAJECTORY DATA
-
PLAYER Pos X,PLAYER Pos Y,PLAYER Pos Z,PLAYER Rot X,PLAYER Rot Y,PLAYER Rot Z,PLAYER Forward X,PLAYER Forward Y,PLAYER Forward Z
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
-10.02395,0,5.790092,0,1,0,0,0,-1
